Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment,Group,Function
,,,,,,,,
C7,0603-CAP,-1.00mm,-1.00mm,T,-90,0.1u,1,
C8,0402-CAP,2.81mm,-5.29mm,T,180,0.1u,1,
C9,0402-CAP,9.80mm,0.27mm,T,-90,0.1u,1,
C10,0402-CAP,-0.84mm,2.49mm,T,180,0.1u,1,
C11,402,-2.90mm,0.27mm,T,-90,0.1u,1,
C18,0603-CAP,-1.00mm,11.70mm,T,-90,0.1u,2,
C19,0402-CAP,2.81mm,7.41mm,T,180,0.1u,2,
C20,0402-CAP,9.80mm,12.97mm,T,-90,0.1u,2,
C21,0402-CAP,-0.84mm,15.19mm,T,180,0.1u,2,
C22,402,-2.90mm,12.97mm,T,-90,0.1u,2,
C29,0603-CAP,-1.00mm,24.40mm,T,-90,0.1u,3,
C30,0402-CAP,2.81mm,20.11mm,T,180,0.1u,3,
C31,0402-CAP,9.80mm,25.67mm,T,-90,0.1u,3,
C32,0402-CAP,-0.84mm,27.89mm,T,180,0.1u,3,
C33,402,-2.90mm,25.67mm,T,-90,0.1u,3,
C40,0603-CAP,-1.00mm,37.10mm,T,-90,0.1u,4,
C41,0402-CAP,2.81mm,32.81mm,T,180,0.1u,4,
C42,0402-CAP,9.80mm,38.37mm,T,-90,0.1u,4,
C43,0402-CAP,-0.84mm,40.59mm,T,180,0.1u,4,
C44,402,-2.90mm,38.37mm,T,-90,0.1u,4,
C51,0603-CAP,-1.00mm,49.80mm,T,-90,0.1u,5,
C52,0402-CAP,2.81mm,45.51mm,T,180,0.1u,5,
C53,0402-CAP,9.80mm,51.07mm,T,-90,0.1u,5,
C54,0402-CAP,-0.84mm,53.29mm,T,180,0.1u,5,
C55,402,-2.90mm,51.07mm,T,-90,0.1u,5,
C62,0603-CAP,-1.00mm,62.50mm,T,-90,0.1u,6,
C63,0402-CAP,2.81mm,58.21mm,T,180,0.1u,6,
C64,0402-CAP,9.80mm,63.77mm,T,-90,0.1u,6,
C65,0402-CAP,-0.84mm,65.99mm,T,180,0.1u,6,
C66,402,-2.90mm,63.77mm,T,-90,0.1u,6,
C73,0603-CAP,-1.00mm,75.20mm,T,-90,0.1u,7,
C74,0402-CAP,2.81mm,70.91mm,T,180,0.1u,7,
C75,0402-CAP,9.80mm,76.47mm,T,-90,0.1u,7,
C76,0402-CAP,-0.84mm,78.69mm,T,180,0.1u,7,
C77,402,-2.90mm,76.47mm,T,-90,0.1u,7,
C84,0603-CAP,-1.00mm,87.90mm,T,-90,0.1u,8,
C85,0402-CAP,2.81mm,83.61mm,T,180,0.1u,8,
C86,0402-CAP,9.80mm,89.17mm,T,-90,0.1u,8,
C87,0402-CAP,-0.84mm,91.39mm,T,180,0.1u,8,
C88,402,-2.90mm,89.17mm,T,-90,0.1u,8,
C95,0603-CAP,-1.00mm,100.60mm,T,-90,0.1u,9,
C96,0402-CAP,2.81mm,96.31mm,T,180,0.1u,9,
C97,0402-CAP,9.80mm,101.87mm,T,-90,0.1u,9,
C98,0402-CAP,-0.84mm,104.09mm,T,180,0.1u,9,
C99,402,-2.90mm,101.87mm,T,-90,0.1u,9,
C106,0603-CAP,-1.00mm,113.30mm,T,-90,0.1u,10,
C107,0402-CAP,2.81mm,109.01mm,T,180,0.1u,10,
C108,0402-CAP,9.80mm,114.57mm,T,-90,0.1u,10,
C109,0402-CAP,-0.84mm,116.79mm,T,180,0.1u,10,
C110,402,-2.90mm,114.57mm,T,-90,0.1u,10,
C117,0603-CAP,-1.00mm,126.00mm,T,-90,0.1u,11,
C118,0402-CAP,2.81mm,121.71mm,T,180,0.1u,11,
C119,0402-CAP,9.80mm,127.27mm,T,-90,0.1u,11,
C120,0402-CAP,-0.84mm,129.49mm,T,180,0.1u,11,
C121,402,-2.90mm,127.27mm,T,-90,0.1u,11,
C128,0603-CAP,-1.00mm,138.70mm,T,-90,0.1u,12,
C129,0402-CAP,2.81mm,134.41mm,T,180,0.1u,12,
C130,0402-CAP,9.80mm,139.97mm,T,-90,0.1u,12,
C131,0402-CAP,-0.84mm,142.19mm,T,180,0.1u,12,
C132,402,-2.90mm,139.97mm,T,-90,0.1u,12,
C139,0603-CAP,-1.00mm,151.40mm,T,-90,0.1u,13,
C140,0402-CAP,2.81mm,147.11mm,T,180,0.1u,13,
C141,0402-CAP,9.80mm,152.67mm,T,-90,0.1u,13,
C142,0402-CAP,-0.84mm,154.89mm,T,180,0.1u,13,
C143,402,-2.90mm,152.67mm,T,-90,0.1u,13,
C150,0603-CAP,-1.00mm,164.10mm,T,-90,0.1u,14,
C151,0402-CAP,2.81mm,159.81mm,T,180,0.1u,14,
C152,0402-CAP,9.80mm,165.37mm,T,-90,0.1u,14,
C153,0402-CAP,-0.84mm,167.59mm,T,180,0.1u,14,
C154,402,-2.90mm,165.37mm,T,-90,0.1u,14,
C161,0603-CAP,-1.00mm,176.80mm,T,-90,0.1u,15,
C162,0402-CAP,2.81mm,172.51mm,T,180,0.1u,15,
C163,0402-CAP,9.80mm,178.07mm,T,-90,0.1u,15,
C164,0402-CAP,-0.84mm,180.29mm,T,180,0.1u,15,
C165,402,-2.90mm,178.07mm,T,-90,0.1u,15,
C172,0603-CAP,-1.00mm,189.50mm,T,-90,0.1u,16,
C173,0402-CAP,2.81mm,185.21mm,T,180,0.1u,16,
C174,0402-CAP,9.80mm,190.77mm,T,-90,0.1u,16,
C175,0402-CAP,-0.84mm,192.99mm,T,180,0.1u,16,
C176,402,-2.90mm,190.77mm,T,-90,0.1u,16,
C179,0402-CAP,89.49mm,-0.68mm,T,90,0.1u,,
C180,0402-CAP,88.85mm,3.13mm,T,0,4.7u,,
C181,0402-CAP,44.24mm,170.77mm,T,0,0.1u,,
C182,0402-CAP,43.45mm,176.96mm,T,90,2.2u,,
C184,LLL31,92.85mm,29.59mm,T,90,1u,,
C185,LLL31,95.08mm,20.67mm,T,0,1u,,
C187,LLL31,93.18mm,7.88mm,T,90,1u,,
C188,LLL31,96.49mm,19.93mm,T,180,1u,,
C193,0402-CAP,52.02mm,154.89mm,T,180,0.1u,,
C195,0402-CAP,48.21mm,149.34mm,T,180,0.1u,,
C196,0402-CAP,48.21mm,148.07mm,T,180,1u,,
C197,0402-CAP,17.26mm,144.41mm,T,-90,0.1u,,
C198,0402-CAP,22.34mm,140.61mm,T,0,2.2u,,
C199,0402-CAP,52.34mm,117.27mm,T,0,0.1u,,
C200,805,53.13mm,140.76mm,T,90,10u,,
C201,0402-CAP,55.83mm,141.56mm,T,90,0.1u,,
C202,0402-CAP,48.69mm,144.26mm,T,0,22p,,
C204,0402-CAP,34.40mm,132.51mm,T,180,0.1u,,
C205,0402-CAP,48.69mm,142.35mm,T,0,22p,,
C211,805,49.64mm,68.37mm,T,180,10u,,
C212,0402-CAP,49.48mm,69.80mm,T,180,0.1u,,
C213,0402-CAP,43.13mm,69.33mm,T,0,0.1u,,
C214,0402-CAP,47.90mm,75.52mm,T,-90,10n,,
C219,805,45.04mm,74.56mm,T,90,10u,,
C220,0402-CAP,46.47mm,74.72mm,T,90,1n,,
C221,0402-CAP,46.47mm,66.31mm,T,0,0.1u,,
C222,805,32.66mm,106.31mm,T,180,10u,,
C223,805,44.40mm,103.30mm,T,0,10u,,
C224,0402-CAP,30.27mm,104.73mm,T,-90,10n,,
C225,805,35.51mm,106.31mm,T,180,10u,,
C226,0402-CAP,46.78mm,104.73mm,T,90,10n,,
C227,805,41.39mm,103.30mm,T,0,10u,,
C228,0402-CAP,37.58mm,102.98mm,T,-90,10n,,
C229,0402-CAP,39.64mm,106.47mm,T,90,10n,,
C230,805,47.42mm,97.42mm,T,180,10u,,
C231,0402-CAP,47.58mm,95.84mm,T,180,0.1u,,
C232,805,32.34mm,100.60mm,T,180,10u,,
C233,0402-CAP,51.23mm,90.60mm,T,0,0.1u,,
C234,0402-CAP,30.27mm,98.85mm,T,-90,10n,,
C235,805,35.20mm,100.60mm,T,180,10u,,
C236,0402-CAP,30.75mm,83.14mm,T,180,470n,,
C237,0402-CAP,49.96mm,93.77mm,T,90,1u,,
C238,0402-CAP,37.26mm,98.38mm,T,90,10n,,
C239,0402-CAP,40.91mm,93.93mm,T,-90,10n,,
C241,0402-CAP,36.94mm,93.61mm,T,0,470n,,
C242,0402-CAP,51.23mm,89.33mm,T,180,1u,,
C245,0402-CAP,34.24mm,93.61mm,T,180,470n,,
C247,0402-CAP,34.24mm,95.04mm,T,180,0.1u,,
C248,0402-CAP,30.43mm,86.47mm,T,90,10n,,
C251,0402-CAP,31.07mm,93.46mm,T,180,470n,,
C253,0402-CAP,31.07mm,94.73mm,T,180,0.1u,,
C254,0402-CAP,47.58mm,87.11mm,T,180,18p,,
C255,0402-CAP,50.44mm,87.11mm,T,0,18p,,
C256,0402-CAP,50.44mm,91.87mm,T,180,1u,,
C258,0402-CAP,98.07mm,38.09mm,T,0,0.1u,,
C259,0402-CAP,42.50mm,167.43mm,T,0,0.1u,,
C260,0402-CAP,87.27mm,39.80mm,T,-90,0.1u,,
C261,0402-CAP,92.03mm,51.23mm,T,90,0.1u,,
C262,0402-CAP,88.54mm,53.13mm,T,90,0.1u,,
C263,0402-CAP,87.27mm,53.45mm,T,90,1u,,
C264,805,80.44mm,45.20mm,T,0,10u,,
C265,0402-CAP,80.92mm,43.61mm,T,0,0.1u,,
C266,0402-CAP,79.33mm,49.80mm,T,0,22p,,
C267,0402-CAP,79.33mm,48.37mm,T,0,22p,,
C268,0402-CAP,39.64mm,153.78mm,T,0,0.1u,,
C269,0402-CAP,63.29mm,43.29mm,T,-90,0.1u,,
C270,0402-CAP,35.51mm,41.70mm,T,90,0.1u,,
C271,0402-CAP,35.20mm,120.13mm,T,0,0.1u,,
C277,0402-CAP,17.26mm,65.67mm,T,-90,0.1u,,
C278,0402-CAP,22.34mm,61.86mm,T,0,2.2u,,
C280,0402-CAP,34.40mm,53.77mm,T,180,0.1u,,
C292,0402-CAP,39.64mm,178.71mm,T,0,,,
C293,0402-CAP,44.56mm,186.33mm,T,0,,,
C294,0402-CAP,33.29mm,177.75mm,T,180,,,
C295,0402-CAP,40.91mm,190.61mm,T,90,,,
C296,0402-CAP,35.83mm,177.59mm,T,180,,,
C297,0402-CAP,40.12mm,188.87mm,T,0,,,
C298,0402-CAP,37.10mm,176.16mm,T,0,,,
C299,0402-CAP,39.48mm,190.61mm,T,-90,,,
C300,805,37.10mm,188.07mm,T,180,47u,,
C301,0402-CAP,34.24mm,188.23mm,T,0,,,
C302,0402-CAP,32.81mm,189.50mm,T,0,,,
C303,0402-CAP,31.86mm,188.23mm,T,0,,,
C304,LLL31,101.37mm,181.09mm,T,90,1u,,
C305,1210,103.03mm,181.66mm,T,90,22u,,
C306,1210,99.14mm,174.99mm,T,-90,22u,,
C307,1210,102.00mm,174.99mm,T,-90,22u,,
